Date:;2020-07-06 17:01:36,,
Firmware Version:;0x0120;0x6150;0x0000;0x0000,,
EPOS Studio Version:;3.6.1.0,,
Index:;0x30D3;0x30D2;0x0000;0x0000,,
Subindex:;0x01;0x01;0x00;0x00,,
Max. samples:;500,,
Recorded samples:;500,,
Sampling period:;256.000,,
Scale:;0;True;2.000;5.000;-13.000;3.000,,
Scale:;1;True;2.000;10.050;-18.050;-2.050,,
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value""",,
TriggerAttributes:;1;4;0x30D3;0x01;0.000000,,
;Velocity actual value averaged;Torque actual value averaged,,
ms;rpm;%,,
0.000;0;-1200,,was -8.9
82688.000;0;-7.4,,
82944.000;-1;-7.7,,
83200.000;-1;-7.9,,
83456.000;-1;-8.0,,
83712.000;-1;-6.8,,
83968.000;0;-7.4,,
84224.000;0;-8.0,,
84480.000;0;-8.5,,
84736.000;-7;-6.8,,
84992.000;-1;-6.0,,
85248.000;0;-6.8,,
85504.000;0;-7.6,,
85760.000;0;-8.4,,
86016.000;0;-9.2,,
86272.000;0;-10.0,,
86528.000;0;-10.6,,
86784.000;-10;-6.7,,
87040.000;-1;-6.0,,
87296.000;0;-5.4,,
87552.000;0;-6.2,,
87808.000;0;-6.9,,
88064.000;0;-7.6,,
88320.000;0;-8.3,,
88576.000;-1;-8.7,,
88832.000;-1;-9.3,,
89088.000;-1;-6.6,,
89344.000;0;-7.3,,
89600.000;0;-8.1,,
89856.000;0;-8.7,,
90112.000;-1;-9.4,,
90368.000;0;-10.0,,
90624.000;-1;-10.3,,
90880.000;-1;-6.6,,
91136.000;-2;-5.9,,
91392.000;0;-6.6,,
91648.000;-1;-7.0,,
91904.000;-1;-7.6,,
92160.000;-1;-6.9,,
92416.000;-1;-6.7,,
92672.000;-1;-6.7,,
92928.000;-1;-6.1,,
93184.000;-1;-6.3,,
93440.000;-1;-6.5,,
93696.000;-1;-6.5,,
93952.000;-1;-6.6,,
94208.000;-1;-6.1,,
94464.000;0;-6.7,,
94720.000;-1;-6.9,,
94976.000;-2;-6.6,,
95232.000;-3;-5.7,,
95488.000;0;-6.3,,
95744.000;0;-6.8,,
96000.000;-1;-7.1,,
96256.000;-1;-6.2,,
96512.000;-1;-6.1,,
96768.000;-1;-6.5,,
97024.000;-1;-6.3,,
97280.000;-1;-6.2,,
97536.000;-1;-6.2,,
97792.000;-2;-5.1,,
98048.000;-1;-5.3,,
98304.000;0;-6.0,,
98560.000;0;-6.6,,
98816.000;0;-7.1,,
99072.000;-3;-6.2,,
99328.000;0;-6.1,,
99584.000;-2;-5.7,,
99840.000;-1;-5.7,,
100096.000;-1;-5.8,,
100352.000;-1;-4.4,,
100608.000;0;-4.9,,
100864.000;-1;-5.3,,
101120.000;-1;-4.8,,
101376.000;0;-5.2,,
101632.000;0;-5.8,,
101888.000;-1;-5.9,,
102144.000;-1;-5.5,,
102400.000;-1;-6.2,,
102656.000;-3;-4.2,,
102912.000;0;-4.8,,
103168.000;-1;-5.0,,
103424.000;0;-5.4,,
103680.000;0;-5.9,,
103936.000;0;-6.4,,
104192.000;-1;-6.8,,
104448.000;-2;-4.6,,
104704.000;-1;-4.4,,
104960.000;-1;-4.5,,
105216.000;-1;-4.8,,
105472.000;-1;-4.8,,
105728.000;-1;-5.1,,
105984.000;-1;-5.3,,
106240.000;-1;-4.9,,
106496.000;-1;-5.1,,
106752.000;-1;-5.0,,
107008.000;-1;-5.2,,
107264.000;-1;-5.6,,
107520.000;-2;-5.2,,
107776.000;-1;-5.3,,
108032.000;-2;-4.9,,
108288.000;0;-5.0,,
108544.000;-1;-5.3,,
108800.000;-1;-5.6,,
109056.000;-1;-5.5,,
109312.000;-1;-5.8,,
109568.000;-2;-5.3,,
109824.000;0;-5.5,,
110080.000;-1;-5.9,,
110336.000;0;-6.4,,
110592.000;-1;-6.5,,
110848.000;-1;-6.2,,
111104.000;-1;-6.1,,
111360.000;-1;-5.9,,
111616.000;0;-6.2,,
111872.000;-1;-6.5,,
112128.000;-1;-6.6,,
112384.000;-1;-5.9,,
112640.000;-2;-5.0,,
112896.000;-1;-5.7,,
113152.000;0;-6.5,,
113408.000;0;-7.1,,
113664.000;-1;-7.4,,
113920.000;-1;-6.7,,
114176.000;0;-7.2,,
114432.000;0;-7.6,,
114688.000;-5;-6.3,,
114944.000;-1;-6.6,,
115200.000;-1;-6.9,,
115456.000;-1;-7.7,,
115712.000;-2;-7.7,,
115968.000;-2;-6.4,,
116224.000;0;-6.9,,
116480.000;-1;-7.3,,
116736.000;0;-8.2,,
116992.000;0;-8.9,,
117248.000;-1;-9.3,,
117504.000;-2;-7.5,,
117760.000;-1;-7.9,,
118016.000;-1;-8.1,,
118272.000;-3;-7.8,,
118528.000;0;-7.2,,
118784.000;0;-7.8,,
119040.000;-1;-8.2,,
119296.000;-1;-8.6,,
119552.000;0;-7.9,,
119808.000;0;-8.5,,
120064.000;0;-9.1,,
120320.000;-3;-8.8,,
120576.000;0;-7.5,,
120832.000;0;-8.1,,
121088.000;0;-8.6,,
121344.000;-1;-8.6,,
121600.000;-1;-7.1,,
121856.000;0;-7.8,,
122112.000;0;-8.5,,
122368.000;0;-9.1,,
122624.000;0;-9.7,,
122880.000;-6;-7.9,,
123136.000;-1;-7.6,,
123392.000;-1;-7.9,,
123648.000;-1;-8.1,,
123904.000;-2;-7.8,,
124160.000;-1;-8.0,,
124416.000;0;-8.6,,
124672.000;-1;-8.8,,
124928.000;-2;-6.6,,
125184.000;0;-7.2,,
125440.000;0;-7.9,,
125696.000;-1;-8.3,,
125952.000;-2;-8.2,,
126208.000;0;-7.4,,
126464.000;0;-8.2,,
126720.000;0;-8.9,,
126976.000;-2;-8.7,,
127232.000;-2;-8.8,,
127488.000;0;-9.4,,
127744.000;0;-10.1,,
